काठमाडौँ	काठमाडौँ $
कम्पनीको	कम्पनी को
कार्यप्रगति	कार्यप्रगति $
चौमासिक	चौमासिक $
कार्ययोजनासहित	कार्ययोजना सहित
समितिमा	समिति मा
उनले	उन ले
दिएकी	दिए की
आउँदो	आउँदो $
भ्रमण	भ्रमण $
लाई	लाई $
प्रभावित	प्रभावित $
नहुने	नहुने $
समयमै	समय मै
सडकको	सडक को
सक्न	सक्न $
उनले	उन ले
सम्बद्ध	सम्बद्ध $
निकायलाई	निकाय लाई
निर्देशनसमेत	निर्देशन समेत
कार्यक्रममा	कार्यक्रम मा
बस्नेतले	बस्नेत ले
समयमा	समय मा
जनस्तरबाट	जनस्तर बाट
निरन्तर	निरन्तर $
खबदारी	खबदारी $
हुँदा	हुँदा $
सुनुवाइ	सुनुवाइ $
नभएकाले	नभएका ले
संसदीय	संसदीय $
समिति	समिति $
गुहार्नुपरेको	गुहार्नुपरे को
सार्क	सार्क $
सम्मेलन	सम्मेलन $
बिमस्टेक	बिमस्टेक $
सम्मेलनमा	सम्मेलन मा
बाटाकै	बाटा कै
अतिथिलाई	अतिथि लाई
स्वागत	स्वागत $
सकिएन	सकिएन $
अब	अब $
नगुमोस्	नगुमोस् $
ढिलाइले	ढिलाइ ले
भएको	भए को
सन्दर्भ	सन्दर्भ $
बस्नेतले	बस्नेत ले
जनस्तरको	जनस्तर को
पटकको	पटक को
दबाब	दबाब $
निर्णायक	निर्णायक $
उनले	उन ले
कम्पनीलाई	कम्पनी लाई
कारबाही	कारबाही $
हुनुपर्ने	हुनु पर्ने
मागसमेत	माग समेत
गरे	गरे $
विस्तारको	विस्तार को
जिम्मेवारी	जिम्मेवारी $
शैलुङ	शैलुङ $
कन्स्ट्रक्सनसहितले	कन्स्ट्रक्सनसहित ले
लिएको	लिए को
कार्यक्रममा	कार्यक्रम मा
समितिका	समिति का
सांसदहरू	सांसद हरू
गणेश	गणेश $
पहाडी	पहाडी $
रामबहादुर	रामबहादुर $
विष्ट	विष्ट $
यज्ञराज	यज्ञराज $
सुनुवारलगायतले	सुनुवार लगायतले
समयमा	समय मा
नसक्ने	नसक्ने $
ठेकेदारलाई	ठेकेदार लाई
हुनुपर्ने	हुनु पर्ने
धारणा	धारणा $
राखे	राखे $
कार्यक्रममा	कार्यक्रम मा
अनुगमनका	अनुगमन का
क्रममा	क्रम मा
स्थानीयले	स्थानीय ले
समयमै	समय मै
बाटो	बाटो $
निर्माणकार्य	निर्माणकार्य $
हिलो	हिलो $
धूलोको	धूलो को
खेप्नुपरेको	खेप्नुपरे को
आक्रोश	आक्रोश $
पोखेका	पोखे का
प्रयोगकर्ता	प्रयोग कर्ता
स्थानीयले	स्थानीय ले
काटेको	काटे को
होला	होला $
पर्यटक	पर्यटक $
ल्याउने	ल्याउने $
यही	यही $
सडकपीडित	सडकपीडित $
संयोजक	संयोजक $
राजकुमार	राजकुमार $
लामिछानेले	लामिछाने ले
सांसदहरूलाई	सांसद हरूलाई
प्रश्न	प्रश्न $
टिपरको	टिपर को
पछाडि	पछाडि $
धूलोमा	धूलो मा
वर्षादी	वर्षादी $
ओढेर	ओढेर $
हिँड्ने	हिँड्ने $
सडकसँगैको	सडकसँगै को
राजकुलोको	राजकुलो को
क्षति	क्षति $
धुलोका	धुलो का
स्वास्थ्यमा	स्वास्थ्य मा
परेको	परे को
असर	असर $
बालीनालीको	बालीनाली को
क्षतिपूर्तिको	क्षतिपूर्ति को
जिम्मा	जिम्मा $
ठेकेदारले	ठेकेदार ले
लिनुपर्छ	लिनुपर्छ $
भन्दैउनले	भन्दैउन ले
गुनासो	गुनासो $
व्यक्त	व्यक्त $
गरेका	गरे का
वर्षमा	वर्ष मा
नगरकोटको	नगरकोट को
विस्तारका	विस्तार का
तीनपल्ट	तीनपल्ट $
म्याद	म्याद $
कामको	काम को
गतिमा	गति मा
खासै	खासै $
घुम्न	घुम्न $
बासिन्दाले	बासिन्दा ले
घाम	घाम $
लाग्दा	लाग्दा $
धूलो	धूलो $
परे	परे $
हिलाम्य	हिलाम्य $
सडकका	सडक का
बेहोर्दै	बेहोर्दै $
आएका	आए का
लागे	लागे $
दिनेश	दिनेश $
लामिछानेले	लामिछाने ले
प्रतिप्रश्न	प्रतिप्रश्न $
खाल्डाखुल्डी	खाल्डाखुल्डी $
सडकमा	सडक मा
ज्यानको	ज्यान को
बाजी	बाजी $
थापेर	थापेर $
यात्रा	यात्रा $
गरौं	गरौं $
धुलाम्य	धुलाम्य $
सडकका	सडक का
स्थानीयले	स्थानीय ले
भोगेको	भोगे को
असरको	असर को
क्षतिपूर्ति	क्षतिपूर्ति $
कसले	कस ले
तिर्छ	तिर्छ $
उनले	उन ले
सन	सन $
सम्झौता	सम्झौता $
भई	भई $
जुनसम्म	जुन सम्म
गरिसक्ने	गरिसक्ने $
लक्ष्यसहित	लक्ष्य सहित
विस्तारको	विस्तार को
लिएका	लिए का
आरामाली	आरामाली $
इन्फ्रा	इन्फ्रा $
पावर	पावर $
लिमिडेट	लिमिडेट $
कन्स्ट्रसन	कन्स्ट्रसन $
कम्पनी	कम्पनी $
प्रालिले	प्रालि ले
तीन	तीन $
पटक	पटक $
बल्ल	बल्ल $
सकाएको	सकाए को
भक्तपुर–नगरकोट–सिपाघाट	भक्तपुर–नगरकोट–सिपाघाट $
जगत	जगत $
प्रजापतिले	प्रजापति ले
लागेको	लागे को
महिनासम्म	महिना सम्म
रूख	रूख $
काट्न	काट्न $
भएको	भए को
लगायत	लगायत $
देखाएर	देखाएर $
विस्तारको	विस्तार को
लिएको	लिए को
ठेकेदारले	ठेकेदार ले
जुनसम्म	जुन सम्म
गराएको	गराए को
हालसम्म	हाल सम्म
भएको	भए को
कम्पनीले	कम्पनी ले
विभिन्न	विभिन्न $
देखाउँदै	देखाउँदै $
अझै	अझै $
म्यादथपको	म्यादथप को
खोजिरहेका	खोजि रहेका
एक्जिम	एक्जिम $
बैंक	बैंक $
इन्डिया	इन्डिया $
सहयोगमा	सहयोग मा
कर	कर $
सहित	सहित $
लागतमा	लागत मा
थालिएको	थालिए को
वर्षअघि	वर्ष अघि
थालिएको	थालिए को
कमलविनायक	कमलविनायक $
भत्केको	भत्के को
पाटी–नगरकोट	पाटी–नगरकोट $
खण्डको	खण्ड को
करिब	करिब $
किलोमिटर	किलोमिटर $
ढिलाइसँगै	ढिलाइ सँगै
ठेकेदारको	ठेकेदार को
लापरबाहीका	लापरबाही का
किनारामा	किनारा मा
लगाएको	लगाए को
नाली	नाली $
पर्खाल	पर्खाल $
भत्किसकेको	भत्कि सकेको
कमलविनायक–बाँसबारीसम्म	कमलविनायक–बाँसबारीसम्म $
गरेको	गरे को
कालोपत्रेसमेत	कालोपत्रे समेत
उक्किएर	उक्किएर $
खाडल	खाडल $
पर्न	पर्न $
थालेको	थाले को
विस्तारका	विस्तार का
नाममा	नाम मा
नगरकोटको	नगरकोट को
छोडिदिँदा	छोडिदिँदा $
नगरकोट/नाल्दुम	नगरकोट/नाल्दुम $
पर्यटकले	पर्यटक ले
दुःख	दुःख $
पाउनुका	पाउनु का
साथै	साथै $
व्यवसाय	व्यवसाय $
धराशायी	धराशायी $
बनेको	बने को
व्यवसायीहरू	व्यवसायी हरू
बताउँछन्	बताउँछन् $
आवातजावतमा	आवातजावत मा
परेको	परे को
नाल्दुम	नाल्दुम $
समितिका	समिति का
धनबहादुर	धनबहादुर $
लामाले	लामा ले
नगरकोटको	नगरकोट को
हेरेर	हेरेर $
पर्यटकले	पर्यटक ले
गाली	गाली $
गर्छन्	गर्छन् $
तत्काल	तत्काल $
नभए	नभए $
कागजमै	कागज मै
सीमित	सीमित $
कालोपत्रेसमेत	कालोपत्रे समेत
बनेको	बने को
उनको	उन को
मार्गको	मार्ग को
सडकलाई	सडक लाई
वर्षौंसम्म	वर्षौं सम्म
पर्यटकलाई	पर्यटक लाई
प्रत्यक्ष	प्रत्यक्ष $
परेको	परे को
व्यवसायी	व्यवसायी $
धीरज	धीरज $
लामाले	लामा ले
प्रवर्द्धनका	प्रवर्द्धन का
जतिसक्दो	जतिसक्दो $
छिटो	छिटो $
लामाले	लामा ले
अनुगमनमा	अनुगमन मा
आएका	आए का
संसदीयटोलीमाझ	संसदीयटोली माझ
पोखे	पोखे $
सन्	सन् $
जुनमा	जुन मा
सुरु	सुरु $
वर्षभित्र	वर्ष भित्र
सक्ने	सक्ने $
लक्ष्य	लक्ष्य $
हालसम्म	हाल सम्म
रिटेनिङ	रिटेनिङ $
वाल	वाल $
भएको	भए को
अधिकांश	अधिकांश $
स्थानमा	स्थान मा
भत्किसकेको	भत्कि सकेको
डीबीएसडी	डीबीएसडी $
उक्किसकेको	उक्कि सकेको
साढे	साढे $
मिटरको	मिटर को
सडकलाई	सडक लाई
बढाएर	बढाएर $
मिटर	मिटर $
नाली–ढलको	नाली–ढलको $
घुम्तीमा	घुम्ती मा
मिटरसम्मको	मिटर सम्मको
फराकिलो	फराकिलो $
योजनासहित	योजना सहित
आयोजनाले	आयोजना ले
विस्तारको	विस्तार को
पाएका	पाए का
कन्स्ट्रक्सन	कन्स्ट्रक्सन $
प्रालिलाई	प्रालि लाई
समयावधिमै	समयावधि मै
पटक/पटक	पटक/पटक $
दिँदा	दिँदा $
समेत	समेत $
नभएकाले	नभएका ले
संघीय	संघीय $
संसद्	संसद् $
समितिलाई	समिति लाई
गुहार्न	गुहार्न $
बाध्य	बाध्य $
भएको	भए को
मिश्रले	मिश्र ले
निमार्ण	निमार्ण $
व्यवसायीका	व्यवसायी का
प्रतिनिधिले	प्रतिनिधि ले
सुदन	सुदन $
गौलीले	गौली ले
निमार्णको	निमार्ण को
अभाव	अभाव $
स्थानीयको	स्थानीय को
अवरोध	अवरोध $
वन	वन $
क्षेत्रका	क्षेत्र का
रुखहरू	रुख हरू
समयमै	समय मै
कटान	कटान $
समयमै	समय मै
नसकिएको	नसकिए को
भेरिएसन	भेरिएसन $
अर्डर	अर्डर $
ढिला	ढिला $
निकासा	निकासा $
बाँकी	बाँकी $
भएकालेपनि	भएकाले पनि
भएको	भए को
आन्दोलनमा	आन्दोलन मा
भक्तपुरको	भक्तपुर को
भत्केको	भत्के को
पाटी	पाटी $
हुँदै	हुँदै $
वर्षसम्म	वर्ष सम्म
नभएपछि	नभए पछि
आन्दोलनमा	आन्दोलन मा
उत्रिएका	उत्रिए का
धूवाँ	धूवाँ $
खाल्डाखुल्डीका	खाल्डाखुल्डी का
जनजीवन	जनजीवन $
बनेको	बने को
बासिन्दा	बासिन्दा $
आन्दोलनमा	आन्दोलन मा
उत्रिएका	उत्रिए का
वर्षमा	वर्ष मा
भइसक्नुपर्ने	भइसक्नु पर्ने
भत्केको	भत्के को
पार्टी–नगरकोट	पार्टी–नगरकोट $
वर्षमा	वर्ष मा
नबनेपछि	नबने पछि
स्थानीयले	स्थानीय ले
सदस्यीय	सदस्यीय $
संघर्ष	संघर्ष $
गठन	गठन $
गरेरआन्दोलन	गरेरआन्दोलन $
गरिरहेका	गरि रहेका
भारतको	भारत को
सहयोगमा	सहयोग मा
भत्केको	भत्के को
पाटी–खरिपाटी–तेलकोट–नगरकोट	पाटी–खरिपाटी–तेलकोट–नगरकोट $
खण्डको	खण्ड को
किमि	किमि $
आयोजनाको	आयोजना को
पाएको	पाए को
कन्स्ट्रक्सनले	कन्स्ट्रक्सन ले
वर्षमा	वर्ष मा
बनाएपछि	बनाए पछि
आन्दोलित	आन्दोलित $
बनेका	बने का
खण्डअन्तर्गतका	खण्डअन्तर्गत का
मण्डनदेउपुर	मण्डनदेउपुर $
छालिङ	छालिङ $
बागेश्वरी	बागेश्वरी $
सुडालका	सुडाल का
बासिन्दाको	बासिन्दा को
भेलाले	भेला ले
लामिछानेको	लामिछाने को
संयोजकत्वमा	संयोजकत्व मा
गरेका	गरे का
समितिले	समिति ले
नगरपालिका	नगरपालि का
प्रशासन	प्रशासन $
समितिसमेतलाई	समितिसमेत लाई
दिँदै	दिँदै $
आएको	आए को
लामिछानेले	लामिछाने ले
भर्खरै	भर्खरै $
माध्यमिक	माध्यमिक $
परीक्षा	परीक्षा $
उत्तीर्ण	उत्तीर्ण $
विद्यार्थी	विद्यार्थी $
कक्षा	कक्षा $
पढ्ने	पढ्ने $
सुरसार	सुरसार $
सालको	साल को
एसईईमा	एसईई मा
जनामध्ये	जना मध्ये
दृष्टिविहीन	दृष्टि विहीन
दृष्टिहीन	दृष्टिहीन $
विद्यार्थीको	विद्यार्थी को
ग्रेड	ग्रेड $
जीपीए	जीपीए $
उत्कृष्ट	उत्कृष्ट $
दृष्टिविहीन	दृष्टि विहीन
विद्यार्थीले	विद्यार्थी ले
तरखरमा	तरखर मा
छन्/छैनन्	छन्/छैनन् $
लेखाजोखा	लेखाजोखा $
निकाय	निकाय $
मौन	मौन $
देशभरिका	देशभरि का
विद्यालयमा	विद्यालय मा
दृष्टिविहीन	दृष्टि विहीन
त्यो	त्यो $
मात्र	मात्र $
मन्त्रालयले	मन्त्रालय ले
ब्रेल	ब्रेल $
पाठ्यपुस्तक	पाठ्यपुस्तक $
सामग्री	सामग्री $
गरेको	गरे को
त्यसैले	त्यसै ले
एईई	एईई $
दृष्टिविहीन	दृष्टि विहीन
कहाँ	कहाँ $
पढ्दै	पढ्दै $
निकायलाई	निकाय लाई
थाहा	थाहा $
संविधानको	संविधान को
धारा	धारा $
भनिएको	भनिए को
दृष्टिविहीन	दृष्टि विहीन
नागरिकलाई	नागरिक लाई
ब्रेललिपि	ब्रेललिपि $
बहिरा	बहिरा $
स्वर	स्वर $
बोलाइसम्बन्धी	बोलाइ सम्बन्धी
भएका	भए का
नागरिकलाई	नागरिक लाई
सांकेतिक	सांकेतिक $
भाषाका	भाषा का
माध्यमबाट	माध्यम बाट
कानुनबमोजिम	कानुन बमोजिम
निःशुल्क	निःशुल्क $
पाउने	पाउने $
हक	हक $
हुनेछ	हुनेछ $
व्यवहारमा	व्यवहार मा
माथि	माथि $
दृष्टिविहीनका	दृष्टिविहीन का
औपचारिक	औपचारिक $
पठनपाठनको	पठनपाठन को
सुविधाको	सुविधा को
नरहेको	नरहे को
स्वीकारोक्ति	स्वीकारोक्ति $
मन्त्रालयका	मन्त्रालय का
अधिकारीहरूको	अधिकारी हरूको
देशकै	देश कै
पहिलो	पहिलो $
दृष्टिविहीनका	दृष्टिविहीन का
स्थापित	स्थापित $
कीर्तिपुरस्थित	कीर्तिपुर स्थित
ल्याबरेटरी	ल्याबरेटरी $
माविबाट	मावि बाट
यसपटक	यस पटक
जनाले	जना ले
एसईई	एसईई $
गरेका	गरे का
त्यहाँ	त्यहाँ $
दृष्टिविहीनका	दृष्टिविहीन का
यहाँ	यहाँ $
नभएकाले	नभएका ले
आआफ्नै	आआफ्नै $
रोजाइमा	रोजाइ मा
कलेजमा	कलेज मा
जान्छन्	जान्छन् $
प्रधानाध्यापक	प्रधानाध्यापक $
लाक्पा	लाक्पा $
शेर्पा	शेर्पा $
कीर्तिपुरस्थित	कीर्तिपुर स्थित
माविबाट	मावि बाट
यसपालिको	यसपालि को
एसईईमा	एसईई मा
ल्याएकी	ल्याए की
स्मारिका	स्मारि का
पोखरेल	पोखरेल $
दृष्टिविहीन	दृष्टि विहीन
धुम्बाराहीस्थित	धुम्बाराही स्थित
साइपल	साइपल $
एकेडेमीमा	एकेडेमी मा
लेभल	लेभल $
पढदै	पढदै $
छिन्	छिन् $
दृष्टिविहीनले	दृष्टिविहीन ले
ननसाइन्सका	ननसाइन्स का
विषय	विषय $
उनले	उन ले
सोसलोजी	सोसलोजी $
साइकोलोजी	साइकोलोजी $
जनरल	जनरल $
पेपर	पेपर $
बिजनेस	बिजनेस $
स्टडिज	स्टडिज $
रोजेकी	रोजे की
विषयमा	विषय मा
पुस्तक	पुस्तक $
पाइन्न	पाइन्न $
कलेजलाई	कलेज लाई
सुनाएरै	सुनाएरै $
भएर	भएर $
पढेकी	पढे की
छात्रा	छात्रा $
पोखरेलका	पोखरेल का
सात	सात $
साथीमध्ये	साथी मध्ये
चारजना	चारजना $
बत्तीसपुतलीस्थित	बत्तीसपुतली स्थित
गोल्डेन	गोल्डेन $
गेट	गेट $
कलेजमा	कलेज मा
भएका	भए का
चार	चार $
जनाले	जना ले
विशेष	विशेष $
छुटसहित	छुट सहित
पाएका	पाए का
सीमा	सीमा $
तामाङले	तामाङ ले
कलेजमा	कलेज मा
शिक्षकले	शिक्षक ले
गाइड	गाइड $
गर्नुहुन्छ	गर्नुहुन्छ $
भन्ने	भन्ने $
हामीभन्दा	हामी भन्दा
अघिल्लो	अघिल्लो $
ब्याचका	ब्याच का
साथीबाट	साथी बाट
पायौं	पायौं $
गाह्रो	गाह्रो $
होमवर्क	होमवर्क $
बुक	बुक $
सरले	सर ले
कम्प्युटरमा	कम्प्युटर मा
गरेर	गरेर $
इमेलबाट	इमेल बाट
पठाऊ	पठाऊ $
भन्नुहुन्छ	भन्नुहुन्छ $
त्यत्ति	त्यत्ति $
सजिलो	सजिलो $
पत्रकारिता	पत्रकारिता $
समाजशास्त्र	समाजशास्त्र $
अंग्रेजी	अंग्रेजी $
ऐच्छिक	ऐच्छिक $
राजेकी	राजे की
उनले	उन ले
कक्षामा	कक्षा मा
सुनेकै	सुने कै
भरमा	भर मा
पढ्नुपर्नेछ	पढ्नुपर्नेछ $
बोर्ड	बोर्ड $
परीक्षामा	परीक्षा मा
लेखक	लेखक $
राख्नुपर्ने	राख्नु पर्ने
बाध्यता	बाध्यता $
रहेको	रहे को
उनले	उन ले
सुनाइन्	सुनाइन् $
दृष्टिविहीन	दृष्टि विहीन
विज्ञान	विज्ञान $
संकायका	संकाय का
पढ्न	पढ्न $
वञ्चित	वञ्चित $
गरेका	गरे का
गणित	गणित $
चित्र	चित्र $
रेखा	रेखा $
आदि	आदि $
प्रयोग	प्रयोग $
प्रश्नपत्र	प्रश्नपत्र $
सधैं	सधैं $
छोड्नुपरेको	छोड्नुपरे को
उनीहरू	उनी हरू
दृष्टिविहीन	दृष्टि विहीन
कल्याण	कल्याण $
संघका	संघ का
कुमार	कुमार $
थापा	थापा $
तह	तह $
व्यवहारमा	व्यवहार मा
लागू	लागू $
नसकेको	नसके को
दृष्टिविहीन	दृष्टि विहीन
पढाउने	पढाउने $
विद्यालयले	विद्यालय ले
कक्षासम्मै	कक्षा सम्मै
पढाउन	पढाउन $
जरुरी	जरुरी $
पाल्पा	पाल्पा $
बाराका	बारा का
विद्यालयले	विद्यालय ले
दृष्टिविहीन	दृष्टि विहीन
विद्यार्थीलाई	विद्यार्थी लाई
पढाएको	पढाए को
त्यसैअनुसार	त्यसै अनुसार
सरकारले	सरकार ले
छात्रवृत्ति	छात्रवृत्ति $
सहायक	सहायक $
उपलब्ध	उपलब्ध $
गराउन	गराउन $
स्थिति	स्थिति $
उल्टो	उल्टो $
भएको	भए को
दृष्टिविहीन	दृष्टि विहीन
अन्यायमा	अन्याय मा
परेका	परे का
नेत्रहीन	नेत्रहीन $
संघका	संघ का
कार्यकारी	कार्यकारी $
सल्लाहकार	सल्लाहकार $
नरबहादुर	नरबहादुर $
लिम्बूले	लिम्बू ले
संविधानलाई	संविधान लाई
सरकारले	सरकार ले
बेवास्ता	बेवास्ता $
नमिल्ने	नमिल्ने $
दृष्टिविहीनका	दृष्टिविहीन का
स्नातक	स्नातक $
स्नातकोत्तरसम्म	स्नातकोत्तर सम्म
औचारिक	औचारिक $
शब्दकोश	शब्दकोश $
व्याकरण	व्याकरण $
भएको	भए को
उनले	उन ले
सरकारले	सरकार ले
गम्भीरतापूर्वक	गम्भीरता पूर्वक
सोचेर	सोचेर $
मन्त्रालयका	मन्त्रालय का
प्रवक्ता	प्रवक्ता $
बैकुण्ठ	बैकुण्ठ $
अर्यालले	अर्याल ले
भएकाले	भएका ले
निर्माणमासमस्या	निर्माणमासमस्या $
रहेको	रहे को
उनले	उन ले
कुन	कुन $
विषयलाई	विषय लाई
भन्नेबारे	भन्ने बारे
विकल्पको	विकल्प को
खोजी	खोजी $
गरिँदै	गरिँदै $
विकल्पबारे	विकल्प बारे
निष्कर्षमा	निष्कर्ष मा
पुग्न	पुग्न $
रहेको	रहे को
उनले	उन ले
जनाए	जनाए $
परीक्षामा	परीक्षा मा
दृष्टिविहीन	दृष्टि विहीन
विद्यार्थीले	विद्यार्थी ले
लिपिमा	लिपि मा
लेखन	लेखन $
उपकरण	उपकरण $
भोग्नुपरेको	भोग्नुपरे को
जतिखेर	जतिखेर $
नजिक	नजिक $
आउँछ	आउँछ $
त्यतिखेर	त्यतिखेर $
जाँचमा	जाँच मा
लेखिदिने	लेखिदिने $
खोज्नुपर्छ	खोज्नुपर्छ $
नियमानुसार	नियमानुसार $
दृष्टिविहीन	दृष्टि विहीन
विद्यार्थीले	विद्यार्थी ले
दिनुपर्ने	दिनु पर्ने
कक्षाभन्दा	कक्षा भन्दा
मुनिकालाई	मुनिका लाई
रोज्न	रोज्न $
पाउँछन्	पाउँछन् $
हलमा	हल मा
लेखकले	लेखक ले
पढेर	पढेर $
सुनाउँछ	सुनाउँछ $
परीक्षार्थीले	परीक्षार्थी ले
सुन्छ	सुन्छ $
उसले	उस ले
बुझेको	बुझे को
जवाफ	जवाफ $
लेखकलाई	लेखक लाई
भन्छ/सुनाउँछ	भन्छ/सुनाउँछ $
लेखकले	लेखक ले
त्यसैअनुसार	त्यसै अनुसार
लेखिदिन्छ	लेखिदिन्छ $
विद्यार्थीलाई	विद्यार्थी लाई
पूर्णांकको	पूर्णांक को
घण्टाको	घण्टा को
दिइन्छ	दिइन्छ $
दृष्टिविहीन	दृष्टि विहीन
भएका	भए का
विद्यार्थीका	विद्यार्थी का
केन्द्राध्यक्षको	केन्द्राध्यक्ष को
अनुमतिमा	अनुमति मा
बढीमा	बढी मा
डेढ	डेढ $
घण्टा	घण्टा $
केन्द्राध्यक्षले	केन्द्राध्यक्ष ले
गराउनै	गराउनै $
मान्छन्	मान्छन् $
कीर्तिपुरस्थित	कीर्तिपुर स्थित
ल्याबोरेटरी	ल्याबोरेटरी $
माविका	मावि का
दृष्टिविहीनका	दृष्टिविहीन का
गरेपछि	गरे पछि
चाहिँदैन	चाहिँदैन $
अभ्यस्त	अभ्यस्त $
शिक्षकले	शिक्षक ले
केन्द्राध्यक्षलाई	केन्द्राध्यक्ष लाई
समस्याबारे	समस्या बारे
बुझाउनै	बुझाउनै $
माविमा	मावि मा
दृष्टिविहीन	दृष्टि विहीन
पढ्छन्	पढ्छन् $
शेर्पाका	शेर्पा का
विकसित	विकसित $
मुलुकमा	मुलुक मा
दृष्टिविहीन	दृष्टि विहीन
विद्यार्थीले	विद्यार्थी ले
ब्रेलमै	ब्रेल मै
दिन्छन्	दिन्छन् $
भनेर	भनेर $
ब्रेलमै	ब्रेल मै
उत्तरपुस्तिका	उत्तरपुस्ति का
जाँचिन्छ	जाँचिन्छ $
त्यसरी	त्यसरी $
ब्रेलमा	ब्रेल मा
लिइएको	लिइए को
परीक्षाको	परीक्षा को
उत्तरपुस्तिकालाई	उत्तरपुस्तिका लाई
साइकेट	साइकेट $
लेटर	लेटर $
अक्षर	अक्षर $
बदलिदिन्छ	बदलिदिन्छ $
अनुवाद	अनुवाद $
भएपछि	भए पछि
अक्षरमा	अक्षर मा
बुझिन्छ	बुझिन्छ $
त्यसले	त्यस ले
परीक्षण	परीक्षण $
अंकभार	अंकभार $
सहज	सहज $
नेपालको	नेपाल को
विद्यालयमा	विद्यालय मा
ब्रेलमै	ब्रेल मै
ब्रेलमै	ब्रेल मै
मार्क्स	मार्क्स $
परीक्षाको	परीक्षा को
छाप्न	छाप्न $
संस्था	संस्था $
विद्यालय	विद्यालय $
सम्मको	सम्म को
छपाउन	छपाउन $
नेपालमा	नेपाल मा
हालसम्म	हाल सम्म
काठमाडौंको	काठमाडौं को
दृष्टिविहीन	दृष्टि विहीन
संघ	संघ $
संघले	संघ ले
छपाउँदै	छपाउँदै $
आएका	आए का
दृष्टिहीनका	दृष्टिहीन का
अनिवार्य	अनिवार्य $
विषयअन्तर्गत	विषयअन्तर्गत $
जनसंख्या	जनसंख्या $
विषयको	विषय को
आएको	आए को
विद्यार्थीलाई	विद्यार्थी लाई
गराइएको	गराइए को
प्रकारको	प्रकार को
छपाइ	छपाइ $
मेसिन	मेसिन $
भएकाले	भएका ले
प्रेस	प्रेस $
छापाखानाले	छापाखाना ले
जनाइएको	जनाइए को
मन्त्रालयले	मन्त्रालय ले
गराएको	गराए को
पठनपाठन	पठनपाठन $
विषयभित्र	विषय भित्र
समेटिएका	समेटिए का
विषयवस्तु	विषयवस्तु $
लिपिमा	लिपि मा
उतार्ने	उतार्ने $
सियोले	सियो ले
घोचेजसरी	घोचेजसरी $
छेडिएर	छेडिएर $
खोपिने	खोपिने $
लिपि	लिपि $
पुस्तकको	पुस्तक को
आकार	आकार $
कक्षागत	कक्षागत $
पाठ्यपुस्तकभन्दा	पाठ्यपुस्तक भन्दा
ठूलो	ठूलो $
कतिपय	कतिपय $
विषयको	विषय को
दुईभन्दा	दुई भन्दा
खण्डमा	खण्ड मा
विभाजन	विभाजन $
छाप्ने	छाप्ने $
गरिएको	गरिए को
विद्यार्थीका	विद्यार्थी का
सेट	सेट $
पुस्तकको	पुस्तक को
मूल्य	मूल्य $
जनाइएको	जनाइए को
आकारको	आकार को
मात्रामा	मात्रा मा
भएकाले	भएका ले
साथीमाझ	साथी माझ
आलोपालो	आलोपालो $
गरेको	गरे को
पोखरेलले	पोखरेल ले
एउटै	एउटै $
विषयको	विषय को
ब्रेलमा	ब्रेल मा
तीनवटा	तीन वटा
किताब	किताब $
उनले	उन ले
त्यसैले	त्यसै ले
साथीसित	साथी सित
बाँडेर	बाँडेर $
पढ्यौं	पढ्यौं $
त्यस्तो	त्यस्तो $
अपर्याप्त	अपर्याप्त $
तहका	तह का
विद्यार्थीले	विद्यार्थी ले
वार्षिक	वार्षिक $
पाउँदै	पाउँदै $
आएका	आए का
ब्रेलका	ब्रेल का
विद्यार्थीले	विद्यार्थी ले
व्यक्तिगत	व्यक्तिगत $
गृहकार्य	गृहकार्य $
स्लेट	स्लेट $
स्टाइल्स	स्टाइल्स $
पेपरसमेत	पेपर समेत
गराए	गराए $
न्याय	न्याय $
सक्छ	सक्छ $
दृष्टिविहीन	दृष्टि विहीन
संघकी	संघ की
निर्देशक	निर्देशक $
डा.	डा. $
मालिका	मालिका $
प्रसाइँ	प्रसाइँ $
भन्छिन्	भन्छिन् $
अहिलेसम्म	अहिले सम्म
भाषाको	भाषा को
ब्रेलमा	ब्रेल मा
विद्यार्थीको	विद्यार्थी को
भाषा	भाषा $
पढाइमा	पढाइ मा
विद्यार्थीले	विद्यार्थी ले
काठमाडौंकै	काठमाडौं कै
विद्यालयमा	विद्यालय मा
दृष्टिविहीनले	दृष्टिविहीन ले
सुनेर	सुनेर $
कम्प्युटर	कम्प्युटर $
सफ्टवेयर	सफ्टवेयर $
